Credit Amount,Duration of Credit (month),Age (years),Creditability,No of dependents,Telephone,Foreign Worker,Sex & Marital Status,Account Balance,Payment Status of Previous Credit,Purpose,Value Savings/Stocks,Length of current employment,Instalment percent,Guarantors,Duration in Current address,Most valuable available asset,Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation
2108,6,29,1,1,0,1,female,greater than $200,no previous credits,items of furniture,no savings,4  to 7 years,25 and 35,none,1 to 4,no assets,no running credits,free apartment,one,skilled
4042,24,43,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,new car,greater than 1000,4  to 7 years,20 and 25,none,greater than 7,car/other,no running credits,owner-occupied flat,two or three,skilled
926,12,38,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,unemployed,greater than 35,none,1 to 4,car/other,no running credits,owner-occupied flat,one,unemployed
1680,12,35,1,1,0,1,female,no running account,no previous credits,items of furniture,100 to 500,more than 7 years,20 and 25,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
1249,24,28,1,1,0,1,female,greater than $200,no previous credits,other,no savings,less than one year,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
2463,24,27,1,1,1,1,female,greater than $200,paid back previous credits at this bank,other,less than 100,4  to 7 years,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,skilled
1595,6,51,1,0,0,1,male- single,greater than $200,no previous credits,items of furniture,no savings,4  to 7 years,20 and 25,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
2058,24,33,1,1,1,1,male- divorced / living apart,greater than $200,paid back previous credits at this bank,household appliances,no savings,1 to 4 years,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,skilled
7814,24,38,1,1,1,1,male- single,greater than $200,no previous credits,new car,no savings,4  to 7 years,20 and 25,none,4 to 7,savings,no running credits,owner-occupied flat,one,executive
1740,6,30,1,1,0,1,female,greater than $200,paid back previous credits at this bank,items of furniture,no savings,more than 7 years,25 and 35,none,1 to 4,no assets,no running credits,free apartment,two or three,skilled
1240,12,38,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,greater than 1000,more than 7 years,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,skilled
6842,24,46,1,0,1,1,male- single,greater than $200,paid back previous credits at this bank,new car,greater than 1000,1 to 4 years,25 and 35,none,greater than 7,car/other,no running credits,owner-occupied flat,two or three,executive
5150,24,33,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,used car,no savings,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
1203,6,43,1,1,1,1,male- single,no running account,no previous credits,other,less than 100,more than 7 years,20 and 25,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
2080,6,24,1,1,0,1,female,greater than $200,paid back previous credits at this bank,other,100 to 500,1 to 4 years,greater than 35,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
1538,6,56,1,1,0,1,male- single,greater than $200,no previous credits,repair,no savings,less than one year,greater than 35,none,1 to 4,house/land,no running credits,owner-occupied flat,one,skilled
3878,24,37,1,1,1,1,male- divorced / living apart,no balance or debit,paid back previous credits at this bank,other,less than 100,less than one year,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
3832,30,22,1,1,0,1,female,no balance or debit,no previous credits,used car,no savings,less than one year,25 and 35,none,less than 1,car/other,no running credits,owner-occupied flat,one,skilled
3186,15,20,1,1,0,1,male- single,greater than $200,no previous credits,other,500 to 1000,4  to 7 years,25 and 35,none,4 to 7,savings,no running credits,free apartment,one,skilled
2896,24,29,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,less than 100,less than one year,25 and 35,none,less than 1,savings,no running credits,owner-occupied flat,one,skilled
6967,24,36,1,1,1,1,male- single,no balance or debit,no problems with current credits at this bank,retraining,less than 100,4  to 7 years,less than 20,none,greater than 7,savings,no running credits,free apartment,one,executive
1819,36,37,0,1,1,1,male- single,greater than $200,no previous credits,repair,no savings,1 to 4 years,less than 20,none,greater than 7,house/land,department stores,rented flat,one,skilled
5943,24,44,0,1,1,1,male- single,greater than $200,no previous credits,items of furniture,greater than 1000,less than one year,greater than 35,none,less than 1,savings,no running credits,owner-occupied flat,two or three,skilled
7127,36,23,0,1,1,1,male- single,greater than $200,paid back previous credits at this bank,used car,no savings,less than one year,25 and 35,none,greater than 7,car/other,no running credits,free apartment,two or three,skilled
3349,36,28,0,1,1,1,male- single,greater than $200,no previous credits,used car,no savings,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,executive
10974,36,26,0,1,1,1,male- single,greater than $200,no previous credits,used car,no savings,unemployed,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,executive
518,6,29,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,no savings,1 to 4 years,20 and 25,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
1126,18,21,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,greater than 1000,less than one year,less than 20,none,1 to 4,no assets,no running credits,free apartment,one,skilled
1860,12,34,1,1,1,1,male- single,no balance or debit,paid back previous credits at this bank,new car,no savings,unemployed,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,executive
9566,36,31,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,25 and 35,none,1 to 4,savings,department stores,owner-occupied flat,two or three,skilled
701,12,40,1,1,0,1,female,no running account,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,one,unskilled
2930,12,27,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,4  to 7 years,25 and 35,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
1505,18,32,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,house/land,no running credits,rented flat,one,executive
2238,18,25,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,25 and 35,none,less than 1,savings,no running credits,owner-occupied flat,two or three,skilled
1503,4,42,1,0,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,4  to 7 years,25 and 35,none,less than 1,no assets,no running credits,owner-occupied flat,two or three,unskilled
2197,24,43,1,0,1,1,male- single,greater than $200,paid back previous credits at this bank,new car,greater than 1000,4  to 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
1881,12,44,1,1,1,1,male- single,Less than $200,no previous credits,items of furniture,no savings,1 to 4 years,25 and 35,none,1 to 4,savings,no running credits,free apartment,one,unskilled
1880,18,32,1,1,1,1,female,no running account,paid back previous credits at this bank,items of furniture,no savings,4  to 7 years,less than 20,none,less than 1,car/other,no running credits,owner-occupied flat,two or three,executive
2389,18,27,1,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,less than one year,less than 20,none,less than 1,savings,department stores,owner-occupied flat,one,skilled
1967,24,20,1,1,1,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
3380,4,37,1,0,0,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,4  to 7 years,greater than 35,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
1455,4,42,1,0,0,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,4  to 7 years,25 and 35,none,less than 1,no assets,no running credits,owner-occupied flat,four or five,unskilled
730,7,46,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,greater than 1000,more than 7 years,less than 20,none,1 to 4,car/other,no running credits,free apartment,two or three,unskilled
3244,18,33,1,1,1,1,male- single,no balance or debit,hesitant payment of previous credits,used car,no savings,1 to 4 years,greater than 35,none,greater than 7,savings,other banks,owner-occupied flat,two or three,skilled
1670,9,22,0,1,1,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,less than one year,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
3979,48,41,1,0,1,1,male- single,no balance or debit,no previous credits,items of furniture,greater than 1000,4  to 7 years,less than 20,none,less than 1,savings,no running credits,owner-occupied flat,two or three,skilled
1922,12,37,0,1,0,1,male- single,no balance or debit,no previous credits,used car,no savings,1 to 4 years,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,one,unskilled
1295,18,27,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,used car,no savings,less than one year,less than 20,none,less than 1,car/other,no running credits,owner-occupied flat,two or three,skilled
1544,4,42,1,0,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,4  to 7 years,25 and 35,none,less than 1,no assets,no running credits,owner-occupied flat,four or five,unskilled
907,8,26,1,1,1,1,female,no balance or debit,no previous credits,retraining,no savings,less than one year,20 and 25,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
1715,30,26,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,greater than 1000,1 to 4 years,less than 20,none,less than 1,savings,no running credits,owner-occupied flat,one,skilled
1347,10,27,1,1,1,1,male- single,Less than $200,paid back previous credits at this bank,items of furniture,greater than 1000,4  to 7 years,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,skilled
1007,12,22,1,1,0,1,female,no balance or debit,no previous credits,other,500 to 1000,1 to 4 years,less than 20,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
1402,12,37,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,used car,100 to 500,4  to 7 years,20 and 25,none,greater than 7,savings,no running credits,free apartment,one,skilled
2002,12,30,1,0,1,1,male- single,no balance or debit,no previous credits,other,no savings,4  to 7 years,20 and 25,none,greater than 7,car/other,no running credits,free apartment,one,skilled
2096,12,49,1,0,0,1,male- single,greater than $200,paid back previous credits at this bank,repair,no savings,4  to 7 years,25 and 35,none,4 to 7,no assets,no running credits,owner-occupied flat,one,unskilled
1101,12,27,1,1,1,1,female,greater than $200,no previous credits,other,no savings,1 to 4 years,20 and 25,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,skilled
894,10,40,1,1,1,1,male- single,greater than $200,no previous credits,vacation,greater than 1000,4  to 7 years,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,one,skilled
1577,11,20,1,1,0,1,male- single,no balance or debit,no previous credits,used car,500 to 1000,less than one year,less than 20,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
2764,33,26,1,1,1,1,male- single,greater than $200,no problems with current credits at this bank,retraining,no savings,1 to 4 years,25 and 35,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
8358,48,30,1,1,0,1,male- single,no balance or debit,hesitant payment of previous credits,other,100 to 500,less than one year,greater than 35,none,less than 1,savings,no running credits,owner-occupied flat,two or three,skilled
1474,12,33,1,1,1,1,male- single,Less than $200,no previous credits,used car,no savings,less than one year,less than 20,none,less than 1,car/other,other banks,owner-occupied flat,one,executive
5433,24,26,1,1,1,1,male- single,greater than $200,no previous credits,new car,greater than 1000,unemployed,25 and 35,none,greater than 7,car/other,no running credits,free apartment,one,executive
1410,14,35,1,1,1,1,female,no balance or debit,no previous credits,retraining,100 to 500,more than 7 years,greater than 35,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
3485,20,44,1,1,1,1,male- divorced / living apart,greater than $200,paid back previous credits at this bank,other,greater than 1000,less than one year,25 and 35,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
3850,18,27,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,new car,no savings,4  to 7 years,20 and 25,none,less than 1,savings,no running credits,owner-occupied flat,two or three,skilled
7408,60,24,0,1,0,1,male- single,no balance or debit,no previous credits,other,less than 100,less than one year,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,one,executive
1377,24,47,1,1,1,1,male- single,Less than $200,no previous credits,items of furniture,less than 100,more than 7 years,less than 20,none,1 to 4,house/land,no running credits,rented flat,one,skilled
4272,30,26,1,1,0,1,male- single,greater than $200,no problems with current credits at this bank,retraining,less than 100,1 to 4 years,25 and 35,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,unskilled
1553,24,23,1,1,1,1,male- single,no balance or debit,no problems with current credits at this bank,items of furniture,less than 100,4  to 7 years,20 and 25,none,1 to 4,car/other,no running credits,free apartment,two or three,skilled
9857,36,31,1,0,1,1,male- single,no balance or debit,no problems with current credits at this bank,retraining,less than 100,4  to 7 years,greater than 35,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,unskilled
362,6,52,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,other,less than 100,1 to 4 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,unskilled
1935,12,43,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,used car,no savings,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,four or five,skilled
10222,48,37,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,greater than 1000,4  to 7 years,less than 20,none,4 to 7,savings,department stores,owner-occupied flat,one,skilled
1330,12,26,1,1,0,1,male- single,Less than $200,no previous credits,other,no savings,less than one year,less than 20,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
9055,36,35,1,0,1,1,male- single,greater than $200,no previous credits,repair,greater than 1000,1 to 4 years,25 and 35,none,greater than 7,house/land,no running credits,rented flat,one,unskilled
7966,26,30,1,1,0,1,male- single,no balance or debit,no previous credits,new car,no savings,less than one year,25 and 35,none,4 to 7,savings,no running credits,owner-occupied flat,two or three,skilled
3496,30,34,1,0,1,1,male- single,no balance or debit,problematic running account,used car,500 to 1000,1 to 4 years,less than 20,none,1 to 4,savings,department stores,owner-occupied flat,one,skilled
6948,36,35,1,1,1,1,male- single,no balance or debit,no previous credits,new car,no savings,1 to 4 years,25 and 35,none,1 to 4,savings,no running credits,free apartment,one,executive
12204,48,48,1,1,1,1,male- single,no balance or debit,hesitant payment of previous credits,retraining,greater than 1000,1 to 4 years,25 and 35,none,1 to 4,savings,other banks,owner-occupied flat,one,executive
3446,36,42,0,0,0,1,male- single,no running account,no previous credits,used car,no savings,more than 7 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
684,12,40,0,0,0,1,male- single,no running account,no previous credits,repair,no savings,1 to 4 years,less than 20,none,greater than 7,savings,no running credits,free apartment,one,unskilled
4281,33,23,0,1,0,1,male- single,no running account,paid back previous credits at this bank,used car,100 to 500,1 to 4 years,greater than 35,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
7174,42,30,0,1,1,1,male- single,no running account,no previous credits,items of furniture,greater than 1000,4  to 7 years,less than 20,none,4 to 7,savings,no running credits,owner-occupied flat,one,executive
1546,24,24,0,1,0,1,male- single,no running account,problematic running account,items of furniture,no savings,4  to 7 years,less than 20,guarantor,greater than 7,savings,other banks,free apartment,one,unskilled
2359,24,33,0,1,0,1,male- divorced / living apart,no running account,no previous credits,used car,less than 100,unemployed,greater than 35,none,less than 1,car/other,no running credits,owner-occupied flat,one,skilled
3621,24,31,0,1,0,1,male- single,greater than $200,no previous credits,items of furniture,less than 100,more than 7 years,25 and 35,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
741,12,22,0,1,0,1,male- single,no running account,no previous credits,items of furniture,less than 100,unemployed,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,one,skilled
7865,12,53,0,1,1,1,male- single,no running account,no previous credits,used car,no savings,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,one,executive
2910,24,34,1,1,1,1,male- single,no running account,no previous credits,new car,no savings,4  to 7 years,25 and 35,none,less than 1,house/land,no running credits,rented flat,one,executive
5302,18,36,1,1,1,1,male- single,no running account,paid back previous credits at this bank,other,no savings,more than 7 years,25 and 35,none,greater than 7,house/land,no running credits,rented flat,four or five,executive
3620,36,37,1,0,0,1,male- single,no running account,no previous credits,used car,no savings,1 to 4 years,greater than 35,guarantor,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
3509,18,25,1,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,4  to 7 years,less than 20,guarantor,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
3017,12,34,1,1,0,1,male- single,no balance or debit,no previous credits,used car,no savings,less than one year,20 and 25,none,less than 1,no assets,no running credits,free apartment,one,executive
1657,12,27,1,1,0,1,male- single,no running account,no previous credits,used car,no savings,1 to 4 years,25 and 35,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
1164,8,51,1,0,1,1,male- single,no running account,paid back previous credits at this bank,new carother,no savings,more than 7 years,20 and 25,none,greater than 7,house/land,other banks,rented flat,two or three,executive
6229,36,23,0,1,1,1,male- single,no running account,paid back previous credits at this bank,used car,no savings,less than one year,less than 20,co-applicant,greater than 7,house/land,no running credits,free apartment,two or three,unskilled
1193,24,29,0,1,0,1,male- single,no running account,problematic running account,other,no savings,unemployed,greater than 35,co-applicant,greater than 7,house/land,no running credits,free apartment,two or three,unemployed
4583,30,32,1,1,0,1,male- divorced / living apart,no running account,hesitant payment of previous credits,used car,no savings,1 to 4 years,25 and 35,guarantor,1 to 4,no assets,no running credits,owner-occupied flat,two or three,skilled
5371,36,28,1,1,0,1,male- single,no running account,paid back previous credits at this bank,used car,no savings,1 to 4 years,20 and 25,guarantor,1 to 4,car/other,no running credits,owner-occupied flat,two or three,skilled
708,12,38,1,0,0,1,male- single,no running account,no previous credits,used car,no savings,1 to 4 years,25 and 35,guarantor,4 to 7,car/other,no running credits,owner-occupied flat,one,unskilled
571,21,65,1,1,0,1,male- single,no running account,paid back previous credits at this bank,other,no savings,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
2522,30,39,1,0,0,1,male- single,no running account,no previous credits,items of furniture,no savings,more than 7 years,greater than 35,guarantor,4 to 7,car/other,no running credits,owner-occupied flat,one,skilled
5179,36,29,0,1,0,1,male- single,no running account,no previous credits,used car,no savings,4  to 7 years,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
8229,36,26,0,0,0,1,male- single,no running account,no previous credits,new car,no savings,1 to 4 years,25 and 35,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
2028,24,30,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,used car,no savings,4  to 7 years,25 and 35,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,unskilled
1374,6,75,1,1,1,1,male- single,no running account,no previous credits,other,greater than 1000,unemployed,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,one,executive
1289,12,21,1,1,0,1,male- single,no running account,no previous credits,used car,no savings,1 to 4 years,less than 20,guarantor,less than 1,car/other,no running credits,owner-occupied flat,one,unskilled
2712,36,41,0,0,0,1,male- single,no running account,no previous credits,used car,no savings,more than 7 years,25 and 35,none,1 to 4,car/other,other banks,owner-occupied flat,one,skilled
975,15,25,1,1,0,1,male- divorced / living apart,no running account,paid back previous credits at this bank,used car,no savings,1 to 4 years,25 and 35,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,skilled
1050,6,35,1,1,1,0,male- single,no balance or debit,no problems with current credits at this bank,used car,no savings,unemployed,less than 20,none,less than 1,car/other,department stores,owner-occupied flat,two or three,executive
609,6,37,1,1,0,1,male- single,no running account,paid back previous credits at this bank,other,no savings,4  to 7 years,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,skilled
4788,48,26,1,0,0,1,male- single,no running account,no previous credits,new car,no savings,4  to 7 years,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,one,skilled
3069,24,30,1,1,0,1,male- single,no balance or debit,no previous credits,used car,less than 100,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,one,skilled
836,12,23,0,1,0,1,male- single,no balance or debit,no previous credits,other,less than 100,less than one year,less than 20,none,1 to 4,car/other,other banks,owner-occupied flat,one,unskilled
2577,12,42,1,1,0,1,male- divorced / living apart,no running account,no previous credits,used car,no savings,1 to 4 years,25 and 35,none,less than 1,savings,no running credits,owner-occupied flat,one,skilled
1620,12,30,1,1,0,1,male- single,no running account,no previous credits,used car,no savings,1 to 4 years,25 and 35,co-applicant,4 to 7,car/other,no running credits,owner-occupied flat,one,skilled
1845,15,46,1,1,0,1,male- single,no running account,no previous credits,used car,no savings,less than one year,less than 20,guarantor,less than 1,car/other,no running credits,free apartment,one,skilled
6579,24,29,1,1,1,1,male- single,no running account,no previous credits,new car,no savings,unemployed,less than 20,none,1 to 4,house/land,no running credits,rented flat,one,executive
1893,12,29,1,1,1,1,male- single,no running account,no previous credits,other,no savings,1 to 4 years,less than 20,guarantor,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
10623,30,38,1,0,1,1,male- single,no running account,paid back previous credits at this bank,new car,no savings,more than 7 years,20 and 25,none,greater than 7,house/land,no running credits,rented flat,four or five,executive
2249,18,30,1,0,1,1,male- single,no running account,no previous credits,other,less than 100,4  to 7 years,less than 20,none,4 to 7,savings,no running credits,owner-occupied flat,one,executive
3108,30,31,0,1,0,1,male- divorced / living apart,no running account,no previous credits,used car,no savings,less than one year,25 and 35,none,greater than 7,car/other,no running credits,owner-occupied flat,one,unskilled
958,12,47,1,0,0,1,male- single,no balance or debit,paid back previous credits at this bank,other,no savings,4  to 7 years,25 and 35,none,4 to 7,no assets,no running credits,owner-occupied flat,two or three,unskilled
9277,24,48,1,1,1,1,male- divorced / living apart,greater than $200,no previous credits,new car,greater than 1000,1 to 4 years,25 and 35,none,greater than 7,house/land,no running credits,rented flat,one,skilled
6314,24,27,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,new carother,no savings,unemployed,less than 20,co-applicant,1 to 4,house/land,other banks,owner-occupied flat,two or three,executive
1526,12,66,1,1,0,1,male- single,no running account,paid back previous credits at this bank,new car,no savings,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,two or three,executive
3590,12,29,1,0,0,1,male- single,no running account,no previous credits,used car,no savings,1 to 4 years,25 and 35,co-applicant,1 to 4,car/other,no running credits,owner-occupied flat,one,unskilled
6615,24,75,1,1,1,1,male- single,no running account,paid back previous credits at this bank,new car,no savings,unemployed,25 and 35,none,greater than 7,house/land,no running credits,rented flat,two or three,executive
1872,6,36,1,1,1,1,male- single,no running account,paid back previous credits at this bank,used car,no savings,unemployed,less than 20,none,greater than 7,house/land,no running credits,rented flat,four or five,executive
2859,12,38,1,1,1,1,male- single,greater than $200,no previous credits,other,greater than 1000,unemployed,less than 20,none,greater than 7,house/land,no running credits,owner-occupied flat,one,executive
1582,18,46,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,500 to 1000,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
1238,6,36,1,0,1,1,male- single,greater than $200,no previous credits,vacation,greater than 1000,unemployed,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,one,executive
2578,12,55,1,1,0,1,male- single,no running account,no previous credits,used car,no savings,unemployed,20 and 25,none,greater than 7,house/land,no running credits,rented flat,one,executive
1433,15,25,1,1,0,1,male- single,no running account,paid back previous credits at this bank,used car,no savings,1 to 4 years,less than 20,none,4 to 7,car/other,no running credits,free apartment,two or three,skilled
7882,42,45,1,0,0,1,male- single,no running account,no previous credits,used car,no savings,4  to 7 years,25 and 35,guarantor,greater than 7,car/other,no running credits,rented flat,one,skilled
4169,24,28,1,1,0,1,male- single,no running account,no previous credits,used car,no savings,1 to 4 years,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
3959,36,30,1,1,1,1,male- single,no running account,no previous credits,used car,no savings,unemployed,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,one,executive
3249,36,39,1,0,1,1,male- single,no running account,no previous credits,other,no savings,4  to 7 years,25 and 35,none,greater than 7,house/land,other banks,rented flat,one,executive
3149,24,22,1,1,0,1,male- single,no running account,no previous credits,used car,no savings,less than one year,less than 20,none,less than 1,house/land,other banks,rented flat,one,skilled
2246,12,60,0,1,0,1,male- single,no running account,paid back previous credits at this bank,used car,no savings,more than 7 years,20 and 25,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,skilled
1797,13,28,1,1,0,1,male- single,no running account,paid back previous credits at this bank,retraining,no savings,less than one year,20 and 25,none,less than 1,car/other,other banks,owner-occupied flat,two or three,unskilled
4272,20,24,1,1,0,1,male- single,no running account,paid back previous credits at this bank,used car,no savings,more than 7 years,greater than 35,none,greater than 7,car/other,no running credits,owner-occupied flat,two or three,skilled
2957,24,63,1,1,1,1,male- single,no running account,paid back previous credits at this bank,new car,no savings,more than 7 years,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,two or three,skilled
2348,36,46,1,1,1,1,female,no running account,paid back previous credits at this bank,used car,no savings,1 to 4 years,20 and 25,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,skilled
6289,42,33,1,1,0,1,male- divorced / living apart,Less than $200,hesitant payment of previous credits,retraining,no savings,less than one year,25 and 35,none,less than 1,car/other,no running credits,owner-occupied flat,two or three,skilled
6419,24,44,1,0,1,1,male- single,no running account,paid back previous credits at this bank,new car,no savings,more than 7 years,25 and 35,none,greater than 7,house/land,no running credits,rented flat,two or three,executive
6143,48,58,0,1,0,1,male- single,no running account,paid back previous credits at this bank,new car,no savings,more than 7 years,less than 20,none,greater than 7,house/land,department stores,rented flat,two or three,unskilled
1597,24,54,1,0,0,1,male- single,greater than $200,paid back previous credits at this bank,repair,no savings,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,two or three,skilled
15857,36,43,1,1,0,1,male- divorced / living apart,no running account,no previous credits,new carother,no savings,unemployed,25 and 35,co-applicant,4 to 7,savings,no running credits,owner-occupied flat,one,executive
2223,24,52,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,less than 100,more than 7 years,less than 20,none,greater than 7,car/other,other banks,owner-occupied flat,two or three,skilled
7238,48,32,1,0,0,1,male- single,greater than $200,no problems with current credits at this bank,items of furniture,greater than 1000,more than 7 years,20 and 25,none,4 to 7,savings,other banks,owner-occupied flat,two or three,skilled
2503,30,41,1,1,0,1,male- single,no balance or debit,no problems with current credits at this bank,retraining,less than 100,more than 7 years,less than 20,none,1 to 4,car/other,department stores,owner-occupied flat,two or three,skilled
2622,18,34,1,1,0,1,male- single,no balance or debit,no previous credits,retraining,less than 100,1 to 4 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
4351,24,48,1,1,1,1,male- single,no balance or debit,no previous credits,used car,greater than 1000,1 to 4 years,greater than 35,none,greater than 7,car/other,no running credits,owner-occupied flat,one,unskilled
368,6,38,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,greater than 1000,more than 7 years,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
754,12,38,1,1,0,1,male- single,no balance or debit,no previous credits,vacation,greater than 1000,more than 7 years,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,two or three,skilled
2424,24,53,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,greater than 1000,more than 7 years,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,two or three,skilled
6681,48,38,1,0,1,1,male- single,no balance or debit,no problems with current credits at this bank,retraining,greater than 1000,1 to 4 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,one,skilled
2427,18,42,1,1,0,1,male- single,no balance or debit,no problems with current credits at this bank,retraining,greater than 1000,more than 7 years,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,skilled
1216,24,38,0,0,0,1,male- single,no balance or debit,paid back previous credits at this bank,items of furniture,less than 100,less than one year,less than 20,none,greater than 7,house/land,other banks,owner-occupied flat,two or three,skilled
